kepoi_name,koi_disposition,kepid,koi_period,koi_time0bk,koi_duration,koi_depth,koi_max_sngle_ev,koi_max_mult_ev,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
K05604.01,CANDIDATE,9044060,476.91977,390.4731,5.07,193.6,,,,6282.0,4.063,-0.08,1.725,1.257,298.28308,45.373589,12.952
K05605.01,CANDIDATE,9047416,9.011888,138.658,4.167,987.6,5.3762846,9.31615,8.0,5627.0,4.002,0.2,1.735,1.103,299.19171,45.34354,14.321
K05725.01,CANDIDATE,9851638,351.25069,226.8377,3.648,1324.0,,,,4828.0,4.63,-0.62,0.63,0.616,298.9433,46.679771,15.806
K05726.01,FALSE POSITIVE,9875101,212.771978,328.1461,2.115,1239.0,,,,5122.0,4.505,0.02,0.824,0.793,283.49139,46.757889,15.788
K05727.01,CANDIDATE,9881660,65.3558881,154.47727,2.165,1158.0,8.303346,9.719412,17.0,4703.0,4.55,0.2,0.764,0.755,287.36737,46.76865,15.676
K05728.01,FALSE POSITIVE,9896438,18.0766788,146.25271,3.06,28831.0,11.280785,26.004807,26.0,5780.0,4.438,0.0,1.0,1.0,294.12787,46.796848,16.667
K05729.01,FALSE POSITIVE,9899514,1.33255577,132.0672,4.282,126.5,3.1905413,12.558189,853.0,5122.0,4.469,0.21,0.881,0.835,295.26416,46.745941,15.916
K05730.01,FALSE POSITIVE,9899607,1.33259275,132.01197,4.014,79.1,4.0110025,13.102346,1007.0,6091.0,4.487,-0.14,0.967,1.045,295.2951,46.775841,15.3
K05731.01,FALSE POSITIVE,9908486,36.6092739,138.77398,1.835,1102.0,5.3775463,12.085586,11.0,4770.0,2.319,-0.34,16.114,1.973,298.11667,46.721958,13.823
K05732.01,CANDIDATE,9910043,39.399926,160.2611,5.729,341.4,3.399126,8.762972,28.0,5913.0,4.581,-0.5,0.795,0.898,298.5697,46.753971,15.453
K05352.01,CANDIDATE,7101726,270.1430241,210.960799,6.32,,,,,,,,,,286.19986,42.61301,15.059
K05353.01,FALSE POSITIVE,7107567,0.812592362,131.55642,1.5646,6945.8,32.124126,282.0146,220.0,7117.0,4.153,-0.22,1.64,1.398,288.49567,42.69556,14.235
K05354.01,FALSE POSITIVE,7109680,81.871309,169.94965,1.606,98.2,,,,6343.0,4.375,-0.16,1.115,1.069,289.27045,42.674389,12.869
K05355.01,FALSE POSITIVE,7115671,0.566805859,131.80997,3.835,61.1,4.215578,13.067887,2313.0,6413.0,4.203,0.12,1.494,1.299,291.12695,42.62439,13.857
K05356.01,FALSE POSITIVE,7123580,326.36595188,253.1342058,3.75,,,,,,,,,,293.54224,42.699532,14.983
K05357.01,FALSE POSITIVE,7123614,520.58269,221.425,2.264,348.0,,,,6210.0,4.45,-0.1,1.033,1.093,293.55038,42.67226,14.027
K05358.01,CANDIDATE,7125794,126.586058,222.9909,5.41,124.9,,,,6611.0,4.269,-0.5,1.249,1.057,294.15234,42.61898,12.968
K05359.01,CANDIDATE,7130612,2.7200197,133.3342,1.874,869.0,4.6721253,7.7928104,32.0,3939.0,4.735,-0.2,0.527,0.55,295.41357,42.663071,16.56
K05479.01,CANDIDATE,8125917,18.347081,145.001,2.825,1126.6,,,,5465.0,3.968,-0.04,1.702,0.983,299.98801,43.917721,14.261
K05480.01,CANDIDATE,8129333,57.140035,145.8694,5.684,1567.0,,,,5936.0,4.103,-0.2,1.46,0.986,300.87204,43.973541,16.558
K05481.01,FALSE POSITIVE,8155368,0.718643659,131.889141,2.51246,124930.0,349.02206,4845.5713,1860.0,5853.0,4.483,-0.12,0.934,0.967,287.80481,44.049191,15.121
K05482.01,CANDIDATE,8158429,31.707574649,138.2539898,7.6771,787.3,5.276899,16.741518,45.0,5861.0,4.546,-0.2,0.865,0.957,289.2291,44.09166,15.197
K05483.01,FALSE POSITIVE,8179747,17.946328114,136.9472719,8.15905,102990.0,813.0273,4035.3816,79.0,5228.0,3.906,-0.24,1.722,0.872,296.41702,44.04821,14.933
K05484.01,FALSE POSITIVE,8192427,204.818268,209.59041,1.93,303.6,,,,6060.0,3.65,-0.28,2.93,1.401,299.59756,44.07642,11.784
K05485.01,CANDIDATE,8197176,9.3589254,133.482,3.169,1527.0,3.0538933,7.7195644,29.0,5188.0,3.327,-0.24,4.521,1.583,300.88522,44.081329,17.054
K05486.01,CANDIDATE,8197406,4.15472242,132.61089,1.791,2243.0,10.756136,66.92077,328.0,6996.0,3.627,-0.2,3.359,1.742,300.94186,44.023651,12.572
K05606.01,FALSE POSITIVE,9049550,23.81490574,135.92167,1.9948,79201.0,306.29495,516.60175,3.0,5421.0,3.79,-0.76,1.89,0.803,299.77884,45.394032,14.488
K05607.01,FALSE POSITIVE,9049697,1.3274511,131.59052,3.465,123.6,3.2950952,12.985169,1015.0,4137.0,4.646,-0.1,0.61,0.601,299.82376,45.334881,15.158
K05608.01,CANDIDATE,9073549,87.565484,134.2932,2.527,396.0,,,,6064.0,4.429,0.1,1.069,1.121,284.32489,45.482319,15.212
K05609.01,CANDIDATE,9079671,535.1515,477.1303,2.826,362.3,,,,5468.0,4.085,-0.04,1.423,0.898,287.76385,45.482159,12.706
K05610.01,CANDIDATE,9079767,495.40462,241.0,0.63,904.0,,,,6225.0,4.45,-0.12,1.031,1.091,287.81815,45.404732,13.825
K05611.01,FALSE POSITIVE,9087071,209.238576,321.1236,2.245,154.7,,,,6302.0,4.345,-0.2,1.135,1.034,291.18909,45.49229,13.564
K05612.01,CANDIDATE,9087853,353.65927,482.263,4.543,1018.0,,,,5438.0,4.574,0.02,0.82,0.92,291.46518,45.47007,15.871
K05613.01,CANDIDATE,9097470,346.4174,460.5646,9.23,662.0,,,,5754.0,4.49,0.08,0.946,1.008,294.82776,45.469952,15.612
K05733.01,FALSE POSITIVE,9911112,1.166835206,131.912321,2.17596,15527.0,66.08117,480.00497,160.0,8982.0,4.111,0.07,2.123,2.122,298.87128,46.75198,14.99
K05734.01,FALSE POSITIVE,9933600,230.70578883,260.3639847,2.69,,,,,,,,,,282.1142,46.816589,14.626
K05735.01,FALSE POSITIVE,9934274,4.99471597,136.1833,3.44,53.0,5.2392273,11.282547,269.0,6409.0,3.706,-0.14,2.83,1.485,282.58215,46.81551,13.352
K05736.01,CANDIDATE,9935983,161.651504,289.32322,2.509,253.6,4.0353317,8.37388,8.0,5725.0,4.212,0.08,1.289,0.988,283.67346,46.82272,13.756
K05737.01,CANDIDATE,9941136,376.24253,392.8316,4.064,185.7,,,,5916.0,4.463,-0.14,0.96,0.976,286.63068,46.843369,13.772
K05738.01,FALSE POSITIVE,9941387,27.659607786,141.2478883,4.16321,318400.0,2422.5337,8744.302,0.0,5310.0,4.593,-0.14,0.768,0.849,286.81644,46.884369,14.706
K05739.01,FALSE POSITIVE,9941550,476.727302,496.4298,9.327,1035.7,5.709601,7.5904665,3.0,5068.0,2.827,-0.62,7.417,1.347,286.90347,46.816341,13.587
K05740.01,CANDIDATE,9942658,21.7997515,144.3188,4.756,109.5,,,,6122.0,4.487,-0.18,0.964,1.041,287.57361,46.822159,14.82
K05360.01,CANDIDATE,7132462,54.595746,156.83764,2.21,135.8,,,,6014.0,3.989,-0.3,1.699,1.027,295.8591,42.642189,13.67
K05361.01,FALSE POSITIVE,7138841,22.0495604,133.82677,3.428,134.5,3.1087775,10.2657,62.0,6821.0,4.176,-0.22,1.548,1.321,297.39395,42.686958,13.454
K05362.01,FALSE POSITIVE,7174911,150.70039392,278.5397643,2.82,,,,,,,,,,281.75983,42.779018,15.396
K05363.01,FALSE POSITIVE,7176424,44.48477463,142.9633835,1.67,,,,,,,,,,282.50769,42.742699,15.179
K05364.01,FALSE POSITIVE,7184556,93.6452481,157.28348,2.12,,,,,,,,,,286.23111,42.79517,15.854
K05365.01,CANDIDATE,7186436,585.64118,248.4981,13.97,565.2,,,,5779.0,4.526,-0.02,0.901,0.993,287.01953,42.751282,14.644
K05366.01,FALSE POSITIVE,7189825,574.69029,392.483,4.269,276.8,,,,5503.0,4.557,-0.46,0.764,0.768,288.41675,42.7136,13.873
K05367.01,CANDIDATE,7191523,502.98283916,283.5049194,2.94,,,,,,,,,,289.03937,42.701439,14.03
K05487.01,CANDIDATE,8223445,48.8130123,157.60638,1.538,702.0,,,,6202.0,4.395,0.0,1.11,1.113,287.91861,44.1213,15.861
K05488.01,FALSE POSITIVE,8223655,280.1604956,286.93817,2.8637,12946.0,31.848518,53.81772,4.0,5387.0,4.581,-0.06,0.799,0.892,288.02615,44.118858,15.884
K05489.01,FALSE POSITIVE,8229361,370.46262,261.4078,9.541,347.9,,,,6295.0,4.401,-0.16,1.08,1.065,290.39822,44.17038,13.84
